Time,Current
19:19:30,749.6
19:19:31,619.4
19:19:32,660.2
19:19:33,648.7
19:19:34,937.0
19:19:35,664.7
19:19:36,706.4
19:19:37,528.6
19:19:38,561.4
19:19:39,654.5
19:19:40,579.9
19:19:41,544.4
19:19:42,820.6
19:19:43,559.8
19:19:44,615.0
19:19:45,504.9
19:19:46,573.8
19:19:47,590.7
19:19:48,592.7
19:19:49,623.4
19:19:50,673.3
19:19:51,618.3
19:19:52,670.0
19:19:53,560.7
19:19:54,555.1
19:19:55,636.4
19:19:56,710.8
19:19:57,652.4
19:19:58,688.8
19:19:59,618.7
19:20:00,689.9
19:20:01,569.8
19:20:02,729.0
19:20:03,618.8
19:20:04,577.7
19:20:05,686.1
19:20:06,658.3
19:20:07,672.5
19:20:08,757.6
19:20:09,595.3
19:20:10,630.5
19:20:11,634.3
19:20:12,588.9
19:20:13,597.5
19:20:14,582.4
19:20:15,525.8
19:20:16,587.3
19:20:17,497.4
19:20:18,707.2
19:20:19,609.9
19:20:20,712.2
19:20:21,635.1
19:20:22,713.2
19:20:23,569.2
19:20:24,705.7
19:20:25,623.0
19:20:26,590.6
19:20:27,574.0
19:20:28,670.9
19:20:29,643.8
19:20:30,681.1
19:20:31,667.6
19:20:32,712.3
19:20:33,625.9
19:20:34,759.9
19:20:35,482.5
19:20:36,591.4
19:20:37,529.8
19:20:38,714.6
19:20:39,622.9
19:20:40,684.3
19:20:41,642.1
19:20:42,561.5
19:20:43,567.4
19:20:44,768.8
19:20:45,578.2
19:20:46,690.9
19:20:47,619.0
19:20:48,555.9
19:20:49,671.9
19:20:50,620.7
19:20:51,574.5
19:20:52,740.9
19:20:53,626.3
19:20:54,616.6
19:20:55,627.6
19:20:56,747.6
19:20:57,544.7
19:20:58,482.4
19:20:59,430.8
19:21:00,529.1
19:21:01,495.5
19:21:02,490.2
19:21:03,439.0
19:21:04,577.0
19:21:05,511.8
19:21:06,503.4
19:21:07,468.4
19:21:08,610.2
19:21:09,492.7
19:21:10,501.5
19:21:11,445.8
19:21:12,536.2
19:21:13,495.4
19:21:14,506.0
19:21:15,453.6
19:21:16,569.5
19:21:17,507.1
19:21:18,508.3
19:21:19,469.1
19:21:20,551.5
19:21:21,490.5
19:21:22,488.5
19:21:23,445.6
19:21:24,795.3
19:21:25,488.3
19:21:26,494.4
19:21:27,468.3
19:21:28,564.3
19:21:29,485.9
19:21:30,488.2
19:21:31,448.3
19:21:32,755.9
19:21:33,490.4
19:21:34,488.9
19:21:35,454.7
19:21:36,556.7
19:21:37,502.0
19:21:38,560.2
19:21:39,590.2
19:21:40,593.2
19:21:41,525.7
19:21:42,560.3
19:21:43,585.4
19:21:44,669.8
19:21:45,634.3
19:21:46,702.9
19:21:47,916.9
19:21:48,710.7
19:21:49,579.2
19:21:50,534.5
19:21:51,524.1
19:21:52,583.5
19:21:53,540.7
19:21:54,594.1
19:21:55,539.0
19:21:56,615.6
19:21:57,501.9
19:21:58,566.8
19:21:59,550.1
19:22:00,648.1
19:22:01,439.3
19:22:02,532.7
19:22:03,553.8
19:22:04,603.4
19:22:05,502.9
19:22:06,579.2
19:22:07,567.9
19:22:08,673.1
19:22:09,784.5
19:22:10,757.2
19:22:11,673.3
19:22:12,721.6
19:22:13,651.8
19:22:14,608.8
19:22:15,562.9
19:22:16,581.7
19:22:17,537.2
19:22:18,598.9
19:22:19,485.0
19:22:20,651.8
19:22:21,585.8
19:22:22,644.7
19:22:23,799.3
19:22:24,741.5
19:22:25,535.2
19:22:26,589.2
19:22:27,573.0
19:22:28,579.8
19:22:29,479.3
19:22:30,616.6
19:22:31,636.6
19:22:32,699.4
19:22:33,645.0
19:22:34,686.5
19:22:35,616.0
19:22:36,674.8
19:22:37,563.0
19:22:38,606.2
19:22:39,674.0
19:22:40,643.6
19:22:41,612.3
19:22:42,681.2
19:22:43,639.7
19:22:44,687.7
19:22:45,599.7
19:22:46,603.7
19:22:47,665.6
19:22:48,672.7
19:22:49,616.7
19:22:50,717.2
19:22:51,611.1
19:22:52,666.5
19:22:53,635.3
19:22:54,561.0
19:22:55,506.3
19:22:56,721.7
19:22:57,662.7
19:22:58,669.8
19:22:59,611.5
19:23:00,661.0
19:23:01,687.4
19:23:02,646.0
19:23:03,572.0
19:23:04,701.3
19:23:05,685.1
19:23:06,645.7
19:23:07,694.1
